#{"t_start": 1783800880.6841168, "env_id": "Acrobot-v1"}
r,l,t,original_reward,shaped_reward
-500.0,500,0.313266,-500.0,-500.0
-500.0,500,0.62666,-500.0,-500.0
-500.0,500,0.948172,-500.0,-500.0
-500.0,500,1.234471,-500.0,-500.0
-500.0,500,2.283242,-500.0,-500.0
-500.0,500,2.572351,-500.0,-500.0
-500.0,500,2.859027,-500.0,-500.0
-500.0,500,3.136082,-500.0,-500.0
-500.0,500,4.181304,-500.0,-500.0
-500.0,500,4.484507,-500.0,-500.0
-500.0,500,5.581511,-500.0,-500.0
-500.0,500,5.863239,-500.0,-500.0
-500.0,500,6.883067,-500.0,-500.0
-467.0,468,7.152165,-467.0,-467.0
-500.0,500,7.436661,-500.0,-500.0
-500.0,500,7.731771,-500.0,-500.0
-427.0,428,8.712847,-427.0,-427.0
-240.0,241,8.849023,-240.0,-240.0
-290.0,291,9.022158,-290.0,-290.0
-372.0,373,9.240856,-372.0,-372.0
-448.0,449,9.509297,-448.0,-448.0
-306.0,307,11.831226,-306.0,-306.0
-229.0,230,12.721986,-229.0,-229.0
-196.0,197,12.863361,-196.0,-196.0
-257.0,258,13.004491,-257.0,-257.0
-221.0,222,13.134878,-221.0,-221.0
-224.0,225,13.260074,-224.0,-224.0
-230.0,231,13.392168,-230.0,-230.0
-224.0,225,13.518398,-224.0,-224.0
-212.0,213,13.637387,-212.0,-212.0
-217.0,218,13.762126,-217.0,-217.0
-261.0,262,14.655038,-261.0,-261.0
-149.0,150,14.737313,-149.0,-149.0
-223.0,224,14.868339,-223.0,-223.0
-158.0,159,14.96187,-158.0,-158.0
-157.0,158,15.059049,-157.0,-157.0
-299.0,300,15.247708,-299.0,-299.0
-162.0,163,15.353169,-162.0,-162.0
-233.0,234,15.499818,-233.0,-233.0
-238.0,239,15.641471,-238.0,-238.0
-207.0,208,15.76183,-207.0,-207.0
-188.0,189,16.623852,-188.0,-188.0
-176.0,177,16.724046,-176.0,-176.0
-148.0,149,16.808057,-148.0,-148.0
-153.0,154,16.896584,-153.0,-153.0
-152.0,153,16.997502,-152.0,-152.0
-166.0,167,19.537824,-166.0,-166.0
-123.0,124,19.616663,-123.0,-123.0
-147.0,148,19.715954,-147.0,-147.0
-248.0,249,19.881451,-248.0,-248.0
-238.0,239,20.040834,-238.0,-238.0
-184.0,185,20.155715,-184.0,-184.0
-196.0,197,20.288217,-196.0,-196.0
-125.0,126,21.212763,-125.0,-125.0
-112.0,113,21.287843,-112.0,-112.0
-160.0,161,21.391787,-160.0,-160.0
-144.0,145,21.483892,-144.0,-144.0
-100.0,101,21.549783,-100.0,-100.0
-174.0,175,21.646508,-174.0,-174.0
-109.0,110,21.703933,-109.0,-109.0
-124.0,125,21.782452,-124.0,-124.0
-91.0,92,21.847381,-91.0,-91.0
-138.0,139,21.928926,-138.0,-138.0
-216.0,217,22.053667,-216.0,-216.0
-105.0,106,22.112201,-105.0,-105.0
-169.0,170,22.209962,-169.0,-169.0
-135.0,136,22.288315,-135.0,-135.0
