#{"t_start": 1782994118.5362957, "env_id": "CartPole-v1"}
r,l,t,original_reward,shaped_reward
14.0,14,0.028249,14.0,14.0
18.0,18,0.041269,18.0,18.0
16.0,16,0.053283,16.0,16.0
86.0,86,0.123543,86.0,86.0
25.0,25,0.144585,25.0,25.0
19.0,19,0.158584,19.0,19.0
16.0,16,0.171617,16.0,16.0
30.0,30,0.194619,30.0,30.0
11.0,11,0.20362,11.0,11.0
17.0,17,0.215147,17.0,17.0
12.0,12,0.223163,12.0,12.0
37.0,37,0.246687,37.0,37.0
24.0,24,0.262223,24.0,24.0
31.0,31,0.283242,31.0,31.0
15.0,15,0.293261,15.0,15.0
23.0,23,0.308793,23.0,23.0
10.0,10,0.316186,10.0,10.0
20.0,20,0.328186,20.0,20.0
13.0,13,0.341321,13.0,13.0
23.0,23,0.358894,23.0,23.0
26.0,26,0.376482,26.0,26.0
25.0,25,0.395476,25.0,25.0
17.0,17,0.406501,17.0,17.0
14.0,14,0.425098,14.0,14.0
19.0,19,0.437545,19.0,19.0
16.0,16,0.450583,16.0,16.0
12.0,12,0.459514,12.0,12.0
25.0,25,0.478938,25.0,25.0
15.0,15,0.490733,15.0,15.0
49.0,49,0.524425,49.0,49.0
17.0,17,0.534977,17.0,17.0
18.0,18,0.546019,18.0,18.0
12.0,12,0.557261,12.0,12.0
21.0,21,0.571356,21.0,21.0
18.0,18,0.58233,18.0,18.0
23.0,23,0.601418,23.0,23.0
12.0,12,0.608417,12.0,12.0
30.0,30,0.629439,30.0,30.0
22.0,22,0.643551,22.0,22.0
12.0,12,0.651551,12.0,12.0
13.0,13,0.668518,13.0,13.0
15.0,15,0.683538,15.0,15.0
12.0,12,0.695569,12.0,12.0
16.0,16,0.707548,16.0,16.0
14.0,14,0.715587,14.0,14.0
25.0,25,0.732544,25.0,25.0
12.0,12,0.740105,12.0,12.0
71.0,71,0.790496,71.0,71.0
16.0,16,0.801487,16.0,16.0
15.0,15,0.811515,15.0,15.0
40.0,40,0.837052,40.0,40.0
22.0,22,0.851632,22.0,22.0
33.0,33,0.872639,33.0,33.0
9.0,9,0.878637,9.0,9.0
11.0,11,0.885654,11.0,11.0
24.0,24,0.902625,24.0,24.0
21.0,21,0.916676,21.0,21.0
12.0,12,0.924271,12.0,12.0
11.0,11,0.931278,11.0,11.0
23.0,23,0.947119,23.0,23.0
25.0,25,0.963357,25.0,25.0
32.0,32,0.985341,32.0,32.0
15.0,15,1.001307,15.0,15.0
32.0,32,1.024477,32.0,32.0
23.0,23,1.038993,23.0,23.0
