#{"t_start": 1783804649.9139187, "env_id": "Acrobot-v1"}
r,l,t,original_reward,shaped_reward
-500.0,500,0.328983,-500.0,-500.0
-500.0,500,0.622903,-500.0,-500.0
-500.0,500,0.896644,-500.0,-500.0
-500.0,500,1.205826,-500.0,-500.0
-500.0,500,2.238808,-500.0,-500.0
-500.0,500,2.509055,-500.0,-500.0
-500.0,500,2.775678,-500.0,-500.0
-500.0,500,3.05367,-500.0,-500.0
-500.0,500,4.065663,-500.0,-500.0
-500.0,500,4.339306,-500.0,-500.0
-500.0,500,5.070466,-500.0,-500.0
-401.0,402,5.316658,-401.0,-401.0
-500.0,500,6.397673,-500.0,-500.0
-500.0,500,6.662395,-500.0,-500.0
-500.0,500,6.947454,-500.0,-500.0
-500.0,500,7.223735,-500.0,-500.0
-500.0,500,8.229672,-500.0,-500.0
-500.0,500,8.50058,-500.0,-500.0
-500.0,500,8.776706,-500.0,-500.0
-500.0,500,9.051868,-500.0,-500.0
-367.0,368,10.495536,-367.0,-367.0
-500.0,500,10.804132,-500.0,-500.0
-409.0,410,11.049704,-409.0,-409.0
-493.0,494,11.317232,-493.0,-493.0
-264.0,265,11.474729,-264.0,-264.0
-254.0,255,11.608432,-254.0,-254.0
-260.0,261,12.498696,-260.0,-260.0
-236.0,237,12.633393,-236.0,-236.0
-254.0,255,12.775512,-254.0,-254.0
-195.0,196,12.882941,-195.0,-195.0
-281.0,282,13.035289,-281.0,-281.0
-500.0,500,13.301633,-500.0,-500.0
-373.0,374,13.496178,-373.0,-373.0
-217.0,218,14.367545,-217.0,-217.0
-259.0,260,14.51633,-259.0,-259.0
-265.0,266,15.006392,-265.0,-265.0
-146.0,147,15.092029,-146.0,-146.0
-223.0,224,15.214612,-223.0,-223.0
-174.0,175,15.307536,-174.0,-174.0
-236.0,237,15.435466,-236.0,-236.0
-213.0,214,15.555115,-213.0,-213.0
-263.0,264,15.697589,-263.0,-263.0
-150.0,151,16.594401,-150.0,-150.0
-205.0,206,16.706218,-205.0,-205.0
-195.0,196,16.80725,-195.0,-195.0
-148.0,149,16.884253,-148.0,-148.0
-239.0,240,17.009846,-239.0,-239.0
-148.0,149,17.099548,-148.0,-148.0
-188.0,189,17.1977,-188.0,-188.0
-213.0,214,17.312839,-213.0,-213.0
-167.0,168,17.401769,-167.0,-167.0
-228.0,229,17.524531,-228.0,-228.0
-201.0,202,17.630603,-201.0,-201.0
-191.0,192,18.474266,-191.0,-191.0
-162.0,163,18.560565,-162.0,-162.0
-204.0,205,18.67299,-204.0,-204.0
-174.0,175,18.766584,-174.0,-174.0
-139.0,140,18.840322,-139.0,-139.0
-162.0,163,18.929604,-162.0,-162.0
