Strategy,Seeds,Final Reward (Mean ± SD),95% CI,Steps to R>=-100.0,Mean Train Time (s)
Dense,5,-109.09 ± 13.84,± 19.22,14000.0,611.8s
Identity,5,-83.46 ± 2.79,± 3.87,22000.0,612.5s
Pbrs,5,-143.42 ± 106.71,± 148.14,11000.0,377.7s
